Date,Purchase Bid,Sell Bid,MCV,Final_Volume,MCP,Month,DayOfWeek,MCP_Rolling,YearMonth,Quarter,IsWeekend,WeekOfYear,Day,MCP_lag1,MCP_lag7,MCP_roll7,MCP_vol30,MCP_Capped
2022-06-20,0.0647197192211033,0.18321886064808285,0.3148675926414078,0.3148676470484222,3126.02,6,0,0.4367619916580879,2022-06,2,0,25,20,0.16128482989591914,0.7709457864768616,0.4367619916580879,0.5160437602670875,0.06705955816032094
2022-06-21,0.0566338099180652,0.1818043210000963,0.24563102153032462,0.24563102153032462,3492.06,6,1,0.28971738698394484,2022-06,2,0,25,21,0.1794623425536474,0.8473675811979777,0.28971738698394484,0.5335122444209361,0.14175519649336177
2022-06-22,0.09712261724109168,0.15851356163371158,0.2831497178207401,0.2831497178207401,5709.96,6,2,0.2511189150152288,2022-06,2,0,25,22,0.2207383768789256,0.5723030117137596,0.2511189150152288,0.5255785424915178,0.5943490557952175
2022-06-23,0.09688317582989882,0.14367220061050306,0.2861818207340018,0.2861818207340018,6783.06,6,3,0.2698090620519606,2022-06,2,0,25,23,0.47083704513931973,0.4175789524980722,0.2698090620519606,0.5256447105588862,0.813330285975488
2022-06-24,0.10205404797745093,0.1552210016639904,0.29024934353856585,0.29024939794558025,6063.78,6,4,0.2943922111514026,2022-06,2,0,25,24,0.5918437996865171,0.3223868588797255,0.2943922111514026,0.5198781918868003,0.66655103031985
2022-06-25,0.11248821138524388,0.17804724120246262,0.34870081218247045,0.3487008665894849,6195.98,6,5,0.3383072582975469,2022-06,2,1,25,25,0.510735106730867,0.24820672172391686,0.3383072582975469,0.5195509601988897,0.6935283098183419
2022-06-26,0.10490186672832962,0.16148880333783486,0.346131930589925,0.3432701216317774,6456.22,6,6,0.4125980234239119,2022-06,2,1,25,26,0.5256424713298227,0.13666753619283226,0.4125980234239119,0.5034880562149,0.7466339619869317
2022-06-27,0.1958958957262681,0.12148504088310189,0.33621989748303904,0.33596135535054633,9080.35,6,0,0.5392955463416149,2022-06,2,0,26,27,0.5549881034268898,0.1520705711258071,0.5392955463416149,0.5243273696986654,0.9999999999999999
2022-06-28,0.14347589590920362,0.1472363202296889,0.3648014255508289,0.3648014255508289,8830.52,6,1,0.6528884540567133,2022-06,2,0,26,28,0.8508947801671161,0.18704654449346284,0.6528884540567133,0.5344451503569441,0.9999999999999999
2022-06-29,0.08186502046881186,0.18146570007412932,0.3647944070459695,0.36465708374159,3970.43,6,2,0.6158743580894035,2022-06,2,0,26,29,0.8227230184594223,0.39897204807810827,0.6158743580894035,0.5599843338359514,0.23937335983446306
2022-06-30,0.08770062446720396,0.2618364272804843,0.4373888158656078,0.43531318826573456,3230.3,6,3,0.5402779615979261,2022-06,2,0,26,30,0.2746811605642697,0.5015092489873842,0.5402779615979261,0.597173622353611,0.08833936682978194
2022-07-01,0.07014745426817198,0.21637581547847,0.29672470317301164,0.29672470317301164,3679.91,7,4,0.4895534596039444,2022-07,3,0,26,1,0.19122134391808848,0.43278037202342556,0.4895534596039444,0.6210963544631656,0.18008864546304193
2022-07-02,0.08055736831195578,0.18518228869225584,0.29192926892261,0.2919293233296244,4240.43,7,5,0.447942843305937,2022-07,3,1,26,2,0.24192104283893962,0.4454123895056791,0.447942843305937,0.6234195007069567,0.29447067802351634
2022-07-03,0.06512914401637826,0.19462420467753747,0.25893810674362433,0.25893810674362433,3640.89,7,6,0.3880376420161365,2022-07,3,1,26,3,0.305127366628703,0.47027892679449657,0.3880376420161365,0.6366103381072616,0.17212606266401653
2022-07-04,0.09693056465649943,0.15999668545654475,0.26544159480452184,0.26544154039750745,5602.76,7,0,0.3140407290597879,2022-07,3,0,27,4,0.2375210022439982,0.721020651724194,0.3140407290597879,0.6169301951617987,0.5724733798327489
