Date,Purchase Bid,Sell Bid,MCV,Final_Volume,MCP
30-03-2023,95185.40,96298.70,58898.08,58880.28,4430.00
31-03-2023,94291.90,121641.98,71308.72,71351.95,3406.33
01-04-2023,93852.75,126774.13,79730.28,79491.52,3074.67
02-04-2023,82999.50,111153.20,62627.15,62098.90,3440.44
03-04-2023,102053.65,113161.68,67857.97,67903.64,4101.66
04-04-2023,107027.43,109515.25,61134.40,60967.39,4464.03
05-04-2023,99905.45,105302.78,63112.40,63232.71,4577.12
06-04-2023,117239.20,108234.10,76904.26,75911.15,5128.16
07-04-2023,119545.73,102520.33,72057.38,72080.29,5617.83
08-04-2023,134478.00,108699.10,78046.51,78111.35,5975.60
09-04-2023,119341.58,115515.73,77598.85,77648.62,4986.84
10-04-2023,132962.48,100098.83,71793.94,71603.42,5735.64
11-04-2023,163397.65,85027.05,66914.07,66914.07,7584.63
12-04-2023,138416.93,100906.25,67570.89,67585.88,6538.52
13-04-2023,210873.28,87309.95,62691.60,62462.89,7128.93
14-04-2023,265019.80,90388.60,65875.39,66251.30,7245.63
15-04-2023,260509.25,82691.90,63082.58,63020.83,6856.63
16-04-2023,204202.20,92587.33,63566.75,63036.38,6531.41
17-04-2023,239704.98,89105.00,63310.21,63310.20,6472.83
18-04-2023,359860.00,91642.88,74889.92,74889.92,7788.45
19-04-2023,245983.20,99572.23,76910.38,76893.83,6402.21
20-04-2023,138581.58,102429.75,70680.39,70277.24,5107.68
21-04-2023,105468.80,121596.05,77380.32,77178.17,3965.36
22-04-2023,94785.90,120399.70,72701.56,72397.06,3403.24
23-04-2023,86952.95,143577.03,71222.01,70665.48,2764.39
24-04-2023,106094.30,127544.88,80683.03,80492.57,3600.89
25-04-2023,103871.80,122560.55,75077.87,75077.87,3831.78
26-04-2023,90982.35,121941.85,67045.56,67039.30,3564.88
27-04-2023,112073.53,132358.05,84959.33,84952.53,3595.65
28-04-2023,103340.95,122970.95,76298.47,76298.48,3501.95
29-04-2023,105205.28,129421.20,81759.34,81759.35,3413.38
30-04-2023,97566.83,135558.15,82902.53,82902.53,2798.23
01-05-2023,90257.05,144417.78,80732.71,80732.71,2254.68
02-05-2023,105857.15,137957.45,86809.71,86809.70,3095.11
03-05-2023,102115.75,114367.73,71782.91,71782.91,3673.84
04-05-2023,104021.50,107865.05,71397.65,71397.65,4064.92
05-05-2023,115521.95,111877.70,73465.04,73465.04,5036.00
06-05-2023,117346.50,110756.03,76010.49,76010.49,5399.62
